"","OBJECTID","SUBZONE_NO","SUBZONE_N","SUBZONE_C","CA_IND","PLN_AREA_N","PLN_AREA_C","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR","SHAPE_Leng","SHAPE_Area"
"187",188,7,"NATURE RESERVE","BPSZ07","N","BUKIT PANJANG","BP","WEST REGION","WR","5E964070D9B0D244","2014/12/05",21822.6273,37285.2615,9051.90911918,4141322.4309
"188",189,2,"TAMPINES EAST","TMSZ02","N","TAMPINES","TM","EAST REGION","ER","21658EAAF84F4D8D","2014/12/05",41122.547,37392.389,10180.6240914,4339824.13578
"189",190,8,"TAI SENG","HGSZ08","N","HOUGANG","HG","NORTH-EAST REGION","NER","83A61CB3DD808C5B","2014/12/05",34043.0454,36213.0116,6396.62838397,1796058.93468
"190",191,1,"TENGEH","TSSZ01","N","TUAS","TS","WEST REGION","WR","A74ED9CED03678BA","2014/12/05",7798.1677,35535.6127,9918.46418022,2251155.70408
"191",192,1,"YUHUA WEST","JESZ01","N","JURONG EAST","JE","WEST REGION","WR","6C125B9A8CCB91DA","2014/12/05",16721.2525,36571.2646,3817.52107182,776142.492476
"192",193,8,"YUNNAN","JWSZ08","N","JURONG WEST","JW","WEST REGION","WR","D3B6116B19FF864D","2014/12/05",12593.1412,36299.9335,7192.20867524,2206305.0091
"193",194,5,"LORONG CHUAN","SGSZ05","N","SERANGOON","SG","NORTH-EAST REGION","NER","8CF45D8EE07ED019","2014/12/05",31327.7628,36732.6316,5440.34732379,1180126.1115
"194",195,4,"DUNEARN","NVSZ04","N","NOVENA","NV","CENTRAL REGION","CR","E55224E9EB1AAB39","2014/12/05",26525.5278,34268.8547,4827.40826399,1229894.41654
"195",196,2,"SUNSET WAY","CLSZ02","N","CLEMENTI","CL","WEST REGION","WR","D310037B2BD7FD2C","2014/12/05",20805.3131,34279.4521,4572.13049642,964682.679273
"196",197,2,"MACPHERSON","GLSZ02","N","GEYLANG","GL","CENTRAL REGION","CR","A6E1CADF14D4862F","2014/12/05",33774.3483,34399.1614,4585.78817982,1263409.40397
